Symbol,Date,EnTime,Bprice,ExTime,Sprice,Option,p/l,Strike
NIFTY,03/01/22,10:30:00,56.55,11:30:00,61.05,Buy Call,225,17600
NIFTY,03/01/22,11:30:00,135.8,11:35:00,139.45,Buy Put,182.5,17600
NIFTY,03/01/22,11:35:00,59.45,11:45:00,60.8,Buy Call,67.5,17600
NIFTY,03/01/22,11:45:00,137.25,11:50:00,140.1,Buy Put,142.5,17600
NIFTY,03/01/22,11:50:00,60.1,12:00:00,61.6,Buy Call,75,17600
NIFTY,03/01/22,12:00:00,136.5,12:10:00,141.15,Buy Put,232.5,17600
NIFTY,03/01/22,12:10:00,59.7,13:35:00,89.6,Buy Call,1495,17600
NIFTY,03/01/22,13:35:00,110.4,13:40:00,115.75,Buy Put,267.5,17600
NIFTY,03/01/22,13:40:00,85.2,15:30:00,130,Sell Put,2240,17600
NIFTY,04/01/22,10:05:00,47.8,10:20:00,58.6,Buy Call,540,17800
NIFTY,04/01/22,10:20:00,128.7,10:25:00,139.85,Buy Put,557.5,17800
NIFTY,04/01/22,10:25:00,51.2,10:35:00,53.8,Buy Call,130,17800
NIFTY,04/01/22,10:35:00,133.1,10:50:00,152.9,Buy Put,990,17800
NIFTY,04/01/22,10:50:00,43.2,12:20:00,49.15,Buy Call,297.5,17800
NIFTY,04/01/22,12:20:00,125.8,12:25:00,128.5,Buy Put,135,17800
NIFTY,04/01/22,12:25:00,47.45,12:45:00,51.95,Buy Call,225,17800
NIFTY,04/01/22,12:45:00,115.9,12:55:00,124.6,Buy Put,435,17800
NIFTY,04/01/22,12:55:00,49.1,13:05:00,50,Buy Call,45,17800
NIFTY,04/01/22,13:05:00,123.1,13:25:00,128.4,Buy Put,265,17800
NIFTY,04/01/22,13:25:00,45,13:30:00,46,Buy Call,50,17800
NIFTY,04/01/22,13:30:00,125.85,13:55:00,135.1,Buy Put,462.5,17800
NIFTY,04/01/22,13:55:00,40.25,15:29:50,83,Sell Put,2137.5,17800
NIFTY,05/01/22,9:20:00,36.35,10:20:00,39.5,Buy Call,157.5,17900
NIFTY,05/01/22,10:20:00,98.7,11:20:00,122.4,Buy Put,1185,17900
NIFTY,05/01/22,11:20:00,29.75,13:15:00,79.45,Buy Call,2485,17900
NIFTY,05/01/22,13:15:00,48.9,15:30:00,46.95,Sell Call,-97.5,17900
NIFTY,06/01/22,9:20:00,27.6,9:25:00,28.8,Buy Call,60,17800
NIFTY,06/01/22,9:25:00,65.65,9:40:00,108.55,Buy Put,2145,17800
NIFTY,06/01/22,9:40:00,14.7,9:45:00,16.8,Buy Call,105,17800
NIFTY,06/01/22,9:45:00,94,9:55:00,109.6,Buy Put,780,17800
NIFTY,06/01/22,9:55:00,12.25,10:10:00,14.2,Buy Call,97.5,17800
NIFTY,06/01/22,10:10:00,91.6,10:15:00,93.9,Buy Put,115,17800
NIFTY,06/01/22,10:15:00,13.7,10:20:00,13.1,Buy Call,-30,17800
NIFTY,06/01/22,10:20:00,94,12:50:00,106.75,Buy Put,637.5,17800
NIFTY,06/01/22,12:50:00,3.15,13:50:00,4.9,Buy Call,87.5,17800
NIFTY,06/01/22,13:50:00,63.45,14:10:00,76.15,Buy Put,635,17800
NIFTY,06/01/22,14:10:00,1.9,14:45:00,6.25,Buy Call,217.5,17800
NIFTY,06/01/22,14:45:00,28.55,14:50:00,43,Buy Put,722.5,17800
NIFTY,06/01/22,14:50:00,2.2,14:55:00,2.7,Buy Call,25,17800
NIFTY,06/01/22,14:55:00,34.9,15:25:00,54.7,Buy Put,990,17800
NIFTY,06/01/22,15:25:00,0.1,15:30:00,0.05,Sell Put,-2.5,17800
NIFTY,07/01/22,11:45:00,119.7,12:55:00,172.85,Buy Put,2657.5,17800
NIFTY,07/01/22,12:55:00,114.8,13:00:00,122.85,Buy Call,402.5,17800
NIFTY,07/01/22,13:00:00,157.45,13:05:00,159.95,Buy Put,125,17800
NIFTY,07/01/22,13:05:00,117.75,13:50:00,136.45,Buy Call,935,17800
NIFTY,07/01/22,13:50:00,139.9,13:55:00,147.4,Buy Put,375,17800
NIFTY,07/01/22,13:55:00,130.75,14:00:00,136.5,Buy Call,287.5,17800
NIFTY,07/01/22,14:00:00,138.25,14:25:00,158.3,Buy Put,1002.5,17800
NIFTY,07/01/22,14:25:00,120.2,14:55:00,127.65,Buy Call,372.5,17800
NIFTY,07/01/22,14:55:00,146.5,15:00:00,150.5,Buy Put,200,17800
NIFTY,07/01/22,15:00:00,126.4,15:30:00,147.25,Sell Put,1042.5,17800
NIFTY,10/01/22,9:30:00,75,10:30:00,103,Buy Call,1400,18000
NIFTY,10/01/22,10:30:00,126.85,10:55:00,138.05,Buy Put,560,18000
NIFTY,10/01/22,10:55:00,92.35,11:10:00,99.95,Buy Call,380,18000
NIFTY,10/01/22,11:10:00,126.7,12:00:00,158,Buy Put,1565,18000
NIFTY,10/01/22,12:00:00,77.95,12:55:00,102.15,Buy Call,1210,18000
NIFTY,10/01/22,12:55:00,120.55,13:10:00,130.1,Buy Put,477.5,18000
NIFTY,10/01/22,13:10:00,94.6,13:15:00,96.9,Buy Call,115,18000
NIFTY,10/01/22,13:15:00,127,13:20:00,130.4,Buy Put,170,18000
NIFTY,10/01/22,13:20:00,93.7,13:25:00,97.3,Buy Call,180,18000
NIFTY,10/01/22,13:25:00,125.35,13:35:00,127.75,Buy Put,120,18000
NIFTY,10/01/22,13:35:00,94.35,13:50:00,98.25,Buy Call,195,18000
