Datetime,Date,Time,open,high,low,close
2022-04-10 09:15:00,2022-04-10,09:15:00,197.0,231.25,191.95,211.35
2022-04-10 09:15:06,2022-04-10,09:15:06,216.15,216.15,205.7,205.7
2022-04-10 09:15:12,2022-04-10,09:15:12,204.85,207.15,204.6,204.6
2022-04-10 09:15:18,2022-04-10,09:15:18,206.15,206.15,202.7,206.0
2022-04-10 09:15:24,2022-04-10,09:15:24,205.25,206.9,204.55,205.3
2022-04-10 09:15:30,2022-04-10,09:15:30,209.05,209.05,206.95,207.9
2022-04-10 09:15:36,2022-04-10,09:15:36,207.2,207.35,204.2,204.2
2022-04-10 09:15:42,2022-04-10,09:15:42,204.7,204.7,203.55,204.25
2022-04-10 09:15:48,2022-04-10,09:15:48,204.45,204.45,203.5,203.5
2022-04-10 09:15:54,2022-04-10,09:15:54,203.15,203.7,202.25,202.25
2022-04-10 09:16:00,2022-04-10,09:16:00,201.4,201.4,199.15,199.15
2022-04-10 09:16:06,2022-04-10,09:16:06,198.5,198.5,198.35,198.35
2022-04-10 09:16:12,2022-04-10,09:16:12,197.3,197.65,196.7,196.7
2022-04-10 09:16:18,2022-04-10,09:16:18,195.9,196.05,193.5,193.5
2022-04-10 09:16:24,2022-04-10,09:16:24,192.5,192.5,191.25,191.25
2022-04-10 09:16:30,2022-04-10,09:16:30,190.35,191.2,190.05,190.05
2022-04-10 09:16:36,2022-04-10,09:16:36,192.0,192.2,192.0,192.15
2022-04-10 09:16:42,2022-04-10,09:16:42,192.95,192.95,191.75,191.75
2022-04-10 09:16:48,2022-04-10,09:16:48,190.5,190.6,188.25,188.25
2022-04-10 09:16:54,2022-04-10,09:16:54,188.85,188.85,187.0,187.85
2022-04-10 09:17:00,2022-04-10,09:17:00,187.0,188.05,185.6,185.6
2022-04-10 09:17:06,2022-04-10,09:17:06,184.3,184.6,182.7,182.7
2022-04-10 09:17:12,2022-04-10,09:17:12,183.0,183.0,180.35,180.35
2022-04-10 09:17:18,2022-04-10,09:17:18,181.05,181.05,180.15,180.75
2022-04-10 09:17:24,2022-04-10,09:17:24,180.35,180.35,178.45,179.6
2022-04-10 09:17:30,2022-04-10,09:17:30,179.1,179.1,177.55,177.8
2022-04-10 09:17:36,2022-04-10,09:17:36,178.2,178.2,177.25,178.0
2022-04-10 09:17:42,2022-04-10,09:17:42,178.1,182.45,178.1,180.8
2022-04-10 09:17:48,2022-04-10,09:17:48,180.3,181.5,179.6,181.5
2022-04-10 09:17:54,2022-04-10,09:17:54,181.85,182.6,181.35,182.6
2022-04-10 09:18:00,2022-04-10,09:18:00,181.2,181.2,180.35,180.8
2022-04-10 09:18:06,2022-04-10,09:18:06,180.0,181.05,179.7,181.05
2022-04-10 09:18:12,2022-04-10,09:18:12,180.0,180.45,179.5,180.45
2022-04-10 09:18:18,2022-04-10,09:18:18,181.1,186.4,181.1,186.4
2022-04-10 09:18:24,2022-04-10,09:18:24,185.5,186.0,185.5,185.6
2022-04-10 09:18:30,2022-04-10,09:18:30,185.75,185.75,185.2,185.2
2022-04-10 09:18:36,2022-04-10,09:18:36,184.75,184.75,180.95,180.95
2022-04-10 09:18:42,2022-04-10,09:18:42,180.95,182.15,180.95,182.15
2022-04-10 09:18:48,2022-04-10,09:18:48,181.3,181.3,179.5,179.5
2022-04-10 09:18:54,2022-04-10,09:18:54,178.95,178.95,177.85,177.85
2022-04-10 09:19:00,2022-04-10,09:19:00,176.9,177.15,176.4,176.4
2022-04-10 09:19:06,2022-04-10,09:19:06,176.4,177.55,175.65,177.3
2022-04-10 09:19:12,2022-04-10,09:19:12,176.0,176.0,174.1,174.1
2022-04-10 09:19:18,2022-04-10,09:19:18,175.0,175.15,173.65,174.9
2022-04-10 09:19:24,2022-04-10,09:19:24,175.2,176.0,174.85,176.0
2022-04-10 09:19:30,2022-04-10,09:19:30,176.2,177.4,176.2,177.4
2022-04-10 09:19:36,2022-04-10,09:19:36,177.25,179.7,177.25,178.75
2022-04-10 09:19:42,2022-04-10,09:19:42,178.75,181.85,178.6,178.6
2022-04-10 09:19:48,2022-04-10,09:19:48,178.75,179.3,177.9,177.9
2022-04-10 09:19:54,2022-04-10,09:19:54,178.05,179.55,178.05,178.15
2022-04-10 09:20:00,2022-04-10,09:20:00,175.2,175.2,171.4,171.95
2022-04-10 09:20:06,2022-04-10,09:20:06,170.6,170.6,167.55,168.0
2022-04-10 09:20:12,2022-04-10,09:20:12,166.75,169.4,165.4,165.4
2022-04-10 09:20:18,2022-04-10,09:20:18,168.05,169.1,166.5,169.1
2022-04-10 09:20:24,2022-04-10,09:20:24,168.75,168.75,167.7,167.7
2022-04-10 09:20:30,2022-04-10,09:20:30,168.4,168.4,166.8,166.8
2022-04-10 09:20:36,2022-04-10,09:20:36,167.0,167.0,165.2,165.2
2022-04-10 09:20:42,2022-04-10,09:20:42,166.0,166.3,165.4,166.3
2022-04-10 09:20:48,2022-04-10,09:20:48,168.6,169.0,167.4,167.4
2022-04-10 09:20:54,2022-04-10,09:20:54,167.65,168.05,166.25,167.6
2022-04-10 09:21:00,2022-04-10,09:21:00,167.4,167.4,163.7,163.7
2022-04-10 09:21:06,2022-04-10,09:21:06,164.1,164.8,162.8,162.8
2022-04-10 09:21:12,2022-04-10,09:21:12,163.8,165.55,163.75,165.2
2022-04-10 09:21:18,2022-04-10,09:21:18,164.45,165.25,164.05,164.3
2022-04-10 09:21:24,2022-04-10,09:21:24,164.45,165.2,164.2,164.2
2022-04-10 09:21:30,2022-04-10,09:21:30,164.6,165.65,164.1,165.65
2022-04-10 09:21:36,2022-04-10,09:21:36,165.3,165.9,165.1,165.15
2022-04-10 09:21:42,2022-04-10,09:21:42,167.0,167.75,166.85,167.75
2022-04-10 09:21:48,2022-04-10,09:21:48,168.65,168.65,165.9,166.5
2022-04-10 09:21:54,2022-04-10,09:21:54,167.5,167.55,165.8,165.8
2022-04-10 09:22:00,2022-04-10,09:22:00,164.7,165.7,164.7,164.75
2022-04-10 09:22:06,2022-04-10,09:22:06,164.7,165.7,164.7,164.8
2022-04-10 09:22:12,2022-04-10,09:22:12,165.6,166.15,165.05,166.0
2022-04-10 09:22:18,2022-04-10,09:22:18,165.75,166.35,165.2,165.45
2022-04-10 09:22:24,2022-04-10,09:22:24,165.2,165.5,165.2,165.4
2022-04-10 09:22:30,2022-04-10,09:22:30,164.9,165.3,164.05,164.05
2022-04-10 09:22:36,2022-04-10,09:22:36,163.55,163.65,162.15,163.65
2022-04-10 09:22:42,2022-04-10,09:22:42,163.4,163.4,162.5,163.05
2022-04-10 09:22:48,2022-04-10,09:22:48,164.25,166.95,164.25,166.95
2022-04-10 09:22:54,2022-04-10,09:22:54,169.1,170.45,168.5,168.5
2022-04-10 09:23:00,2022-04-10,09:23:00,168.85,169.4,167.7,169.4
2022-04-10 09:23:06,2022-04-10,09:23:06,169.7,169.7,168.6,168.85
2022-04-10 09:23:12,2022-04-10,09:23:12,168.75,168.75,167.85,168.0
2022-04-10 09:23:18,2022-04-10,09:23:18,167.65,167.85,166.2,166.35
2022-04-10 09:23:24,2022-04-10,09:23:24,165.55,165.65,164.0,164.0
2022-04-10 09:23:30,2022-04-10,09:23:30,164.2,164.2,163.0,163.05
2022-04-10 09:23:36,2022-04-10,09:23:36,163.7,164.4,163.0,164.3
2022-04-10 09:23:42,2022-04-10,09:23:42,164.85,164.85,163.2,163.2
2022-04-10 09:23:48,2022-04-10,09:23:48,162.9,162.9,160.4,161.0
2022-04-10 09:23:54,2022-04-10,09:23:54,161.75,161.75,160.05,160.05
2022-04-10 09:24:00,2022-04-10,09:24:00,159.45,160.1,157.9,157.9
2022-04-10 09:24:06,2022-04-10,09:24:06,160.45,160.45,158.95,158.95
2022-04-10 09:24:12,2022-04-10,09:24:12,159.95,161.0,159.95,160.15
2022-04-10 09:24:18,2022-04-10,09:24:18,159.45,159.45,157.65,157.65
2022-04-10 09:24:24,2022-04-10,09:24:24,157.3,157.3,154.4,154.4
2022-04-10 09:24:30,2022-04-10,09:24:30,153.3,153.3,151.85,151.85
2022-04-10 09:24:36,2022-04-10,09:24:36,151.55,153.35,150.3,153.3
2022-04-10 09:24:42,2022-04-10,09:24:42,153.4,153.55,152.75,152.75
2022-04-10 09:24:48,2022-04-10,09:24:48,152.0,152.0,150.0,150.0
