Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:00,101.2,97.75,1150,101.35,400,19050,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:00,97.7,97.75,1150,101.35,400,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:00,106.6,97.75,1150,101.35,400,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:00,97,97.75,1150,101.35,400,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:01,107.1,105.7,2000,107.05,300,12600,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:01,108.55,105.7,2000,107.05,300,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:03,107.8,107.75,150,108.2,100,29100,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:03,111.2,107.75,150,108.2,100,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:05,114.85,114.35,100,114.65,200,53000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:05,116.55,114.35,100,114.65,200,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:06,118.8,117.7,600,118.65,200,36250,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:06,118.9,117.7,600,118.65,200,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:08,113,112.8,400,113,50,40550,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:10,111.25,111.2,100,111.6,450,32250,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:11,111.9,111.55,350,111.9,850,52900,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:13,116.9,116.95,400,117.55,750,71600,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:14,119.35,119.1,200,119.55,50,56450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:14,119.8,119.1,200,119.55,50,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:15,120.05,120.1,50,120.75,100,39500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:15,121.85,120.1,50,120.75,100,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:17,120.35,120.2,50,120.6,100,53200,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:17,122,120.2,50,120.6,100,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:18,121.15,120.75,100,121.2,50,64000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:19,120,119.75,250,120.05,100,51450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:21,120.45,120.4,50,120.7,100,48900,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:22,122.25,122.25,50,122.5,150,64300,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:22,123,122.25,50,122.5,150,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:23,122.4,122.5,100,122.9,100,52300,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:23,123.4,122.5,100,122.9,100,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:25,127.2,126.75,150,127.2,50,62000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:25,127.2,126.75,150,127.2,50,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:26,125.45,125.45,100,125.75,150,55650,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:26,127.25,125.45,100,125.75,150,0,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:28,124.85,124.6,150,124.85,50,95600,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:30,120.8,120.8,1150,121.35,200,60650,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:31,120.7,120.15,100,120.7,700,32500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:32,120,120,4700,120.4,200,31950,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:33,119.6,119.05,350,119.65,1900,26050,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:34,118.9,118.85,200,119.1,100,11700,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:36,118.25,117.75,100,118.25,50,29850,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:37,115.8,115.5,150,115.75,100,22500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:39,115.1,114.75,250,115.1,50,33200,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:40,114.8,114.4,550,114.8,550,42350,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:42,117.85,117.6,250,118.15,100,52450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:43,117.8,117.8,50,118.3,200,50700,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:45,117.4,117.2,700,117.45,50,65200,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:46,115.8,115.45,100,115.85,100,51550,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:48,115.45,115,100,115.45,1250,48000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:49,112.4,112.4,100,112.9,250,40850,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:50,112.15,111.65,200,112.1,350,17950,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:52,111.05,111.25,150,111.4,200,18450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:53,112.55,112.55,100,112.8,200,40050,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:55,113.7,113.7,100,114.1,200,44150,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:56,115.3,115.25,50,115.6,400,18550,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:57,116,115.6,150,116,1450,24150,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:15:59,115.85,115.45,100,115.9,300,21150,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:00,116,116,1600,116.35,150,22800,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:01,115.15,115.1,400,115.35,50,49650,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:03,117.2,117.2,250,117.45,50,27800,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:04,117.8,117.6,50,117.8,50,40750,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:05,119.95,119.7,300,120,6250,33750,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:07,120.1,120.05,150,120.25,50,27300,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:08,121.2,121.25,50,121.55,200,34750,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:09,119.2,119.15,100,119.4,400,20150,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:11,120.35,120.1,50,120.4,350,25600,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:12,121.1,120.95,50,121.15,150,15700,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:13,121.4,121.2,100,121.45,100,20900,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:15,121.55,121.7,50,121.85,150,15000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:16,121.85,121.85,50,121.9,50,30450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:17,123.3,123.05,200,123.3,150,21800,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:19,121.9,121.9,1000,122,100,39500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:20,122.6,122.65,50,122.95,50,21500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:21,122.85,122.9,150,123.15,50,24650,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:22,123.3,123.2,150,123.35,100,20550,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:23,123.15,123.2,150,123.4,50,18350,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:25,123.75,123.75,150,124,1650,20650,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:26,124.1,124,50,124.2,100,22200,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:27,124.45,124.45,50,124.7,100,20250,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:29,124.1,124,250,124.2,250,44350,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:30,123.75,123.8,50,124,250,24750,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:32,121,121.15,50,121.45,250,73900,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:33,122.35,122.4,200,122.65,400,33600,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:34,123.35,123.3,100,123.55,250,19450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:36,120.75,120.6,200,120.75,50,22050,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:37,121.1,121.15,250,121.4,200,49900,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:38,121.3,121.2,300,121.45,400,17100,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:39,120.65,120.7,100,121,1750,14550,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:41,120.3,120.15,150,120.4,150,15450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:42,118.65,118.4,50,118.7,250,20900,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:43,118.35,118.1,150,118.35,250,25600,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:45,117.15,117.1,50,117.25,100,24300,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:46,117.5,117.55,50,117.6,50,32700,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:47,117.1,117.1,200,117.35,300,20450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:49,117.55,117.55,50,117.75,50,9450,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:50,116.9,116.9,150,117.15,150,19750,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:51,117.65,117.75,50,118,200,27150,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:52,118.4,118.15,100,118.35,50,49850,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:54,119.45,119.5,200,119.7,50,37500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:55,118.55,118.4,50,118.55,50,37000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:57,118.05,118.15,50,118.3,50,20500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:16:58,118.45,118.35,100,118.65,200,31150,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:00,117.4,117.3,150,117.5,200,32700,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:01,117.9,117.75,100,117.9,100,12950,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:03,119.05,119.1,100,119.25,250,27000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:04,118.45,118.15,50,118.45,450,31250,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:06,118.6,118.6,100,118.7,150,59200,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:07,119,119,10200,119.05,250,20500,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:08,118.9,118.6,100,118.7,150,22650,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:10,118.55,118.35,50,118.55,150,9150,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:11,119.55,119.35,150,119.55,200,17000,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:13,121.2,120.95,400,121.2,200,38100,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:14,121.6,121.35,150,121.6,300,20400,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:15,121.5,121.25,300,121.5,150,16400,4531850
NIFTY13OCT2217200PE.NFO,11/10/2022,09:17:17,120.95,120.35,2400,120.6,250,10200,4531850
