Datetime,Date,Time,open,high,low,close
2022-10-25 09:15:00,2022-10-25,09:15:00,80.0,80.0,61.25,61.25
2022-10-25 09:15:06,2022-10-25,09:15:06,59.3,64.3,56.9,64.3
2022-10-25 09:15:12,2022-10-25,09:15:12,63.05,63.05,61.9,61.9
2022-10-25 09:15:18,2022-10-25,09:15:18,63.0,63.0,60.95,61.95
2022-10-25 09:15:24,2022-10-25,09:15:24,62.7,63.0,62.7,62.85
2022-10-25 09:15:30,2022-10-25,09:15:30,62.2,62.2,59.3,61.65
2022-10-25 09:15:36,2022-10-25,09:15:36,61.1,61.85,61.1,61.8
2022-10-25 09:15:42,2022-10-25,09:15:42,61.55,61.55,59.85,59.85
2022-10-25 09:15:48,2022-10-25,09:15:48,59.65,59.65,59.5,59.6
2022-10-25 09:15:54,2022-10-25,09:15:54,58.95,58.95,57.3,57.3
2022-10-25 09:16:00,2022-10-25,09:16:00,57.3,57.75,55.6,56.3
2022-10-25 09:16:06,2022-10-25,09:16:06,57.1,57.1,54.15,54.15
2022-10-25 09:16:12,2022-10-25,09:16:12,54.85,56.55,54.05,56.55
2022-10-25 09:16:18,2022-10-25,09:16:18,56.8,57.15,56.75,57.15
2022-10-25 09:16:24,2022-10-25,09:16:24,58.0,58.9,58.0,58.9
2022-10-25 09:16:30,2022-10-25,09:16:30,58.45,59.85,58.3,59.85
2022-10-25 09:16:36,2022-10-25,09:16:36,59.85,59.85,57.45,57.45
2022-10-25 09:16:42,2022-10-25,09:16:42,57.2,57.2,56.1,56.1
2022-10-25 09:16:48,2022-10-25,09:16:48,56.05,56.05,54.9,54.9
2022-10-25 09:16:54,2022-10-25,09:16:54,55.7,55.7,53.1,53.1
2022-10-25 09:17:00,2022-10-25,09:17:00,51.6,52.5,50.35,52.5
2022-10-25 09:17:06,2022-10-25,09:17:06,53.0,53.45,51.4,53.45
2022-10-25 09:17:12,2022-10-25,09:17:12,54.1,54.1,51.75,52.25
2022-10-25 09:17:18,2022-10-25,09:17:18,51.5,51.5,50.0,51.1
2022-10-25 09:17:24,2022-10-25,09:17:24,51.5,51.5,50.9,51.45
2022-10-25 09:17:30,2022-10-25,09:17:30,53.6,53.6,52.4,52.4
2022-10-25 09:17:36,2022-10-25,09:17:36,53.7,53.7,53.1,53.1
2022-10-25 09:17:42,2022-10-25,09:17:42,52.95,52.95,52.25,52.25
