Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:00,215.7,133.7,2650,153.2,400,2550,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:00,215.7,133.7,2650,153.2,400,0,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:00,228.45,133.7,2650,153.2,400,0,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:00,130.05,133.7,2650,153.2,400,0,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:01,130,133.25,450,147.1,100,11700,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:01,121.35,133.25,450,147.1,100,0,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:03,138.8,134.2,50,138.7,800,21050,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:03,95,134.2,50,138.7,800,0,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:05,141.25,141.25,400,148.05,300,11400,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:06,148.15,141.45,400,150.05,50,13700,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:08,145.15,142.2,50,145.15,400,17450,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:10,144.65,141.6,400,144.65,100,12550,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:11,145.15,143.35,50,144.95,200,9300,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:13,143.85,143.6,150,143.85,50,8900,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:15,144.05,144.1,50,145.15,400,8200,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:16,145,144.8,50,145.5,400,4500,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:18,142.1,142.2,400,143.8,700,8450,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:20,141.3,141.3,400,143.8,50,16050,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:21,143.55,143.45,50,144.2,50,6200,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:23,143.15,141.3,400,142.9,150,10800,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:25,143.75,143.1,50,143.45,400,12500,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:26,144.25,143.75,400,144.25,400,9350,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:28,144.3,143.25,400,144.3,100,25200,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:30,143.05,142.35,300,143.45,400,7900,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:31,144.95,144.25,350,145,400,4100,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:33,145.5,144.85,50,145.5,150,3700,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:35,147,146.95,50,147.05,200,7500,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:36,146.95,146.95,50,147.6,500,4400,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:38,147.55,147.25,100,147.55,300,4600,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:40,147.1,146.2,400,147,50,7400,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:41,146.95,146.55,50,147.2,350,5600,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:43,147.95,147.3,100,147.95,50,3650,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:45,149.35,148.7,50,149.35,400,16150,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:46,151.65,151.05,450,151.75,350,7100,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:48,152.75,151.95,150,152.35,350,2500,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:50,152.6,151.7,100,152.55,50,3350,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:51,153.75,152.65,50,153.45,350,8600,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:53,154.3,153.75,50,154.25,350,900,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:55,154.65,153.95,50,154.65,300,11900,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:56,154.7,154.7,50,155.5,400,6300,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:15:58,156.6,156.35,50,156.65,400,7350,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:00,157.25,156.6,200,157.25,400,9200,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:01,155.05,154.95,350,155,50,6100,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:03,154.95,154.75,550,155.3,100,6450,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:05,153.65,153.65,100,154,150,3100,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:06,152,151.9,50,152.05,200,7600,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:08,151.05,151,250,151.15,50,4200,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:10,152.6,152.05,100,152.35,200,5750,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:11,151.15,151.7,50,152.2,100,2450,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:13,153.35,153.25,50,153.7,300,2000,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:15,153.85,153.65,100,153.95,350,2050,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:16,154.1,154.3,100,154.7,50,2550,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:18,154.1,154.05,150,154.25,150,2350,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:20,154.95,154.65,300,154.95,50,1000,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:21,153.45,153.3,150,153.6,250,2650,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:23,151.45,151.15,100,151.45,150,21650,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:25,150.3,150.3,50,150.75,500,24250,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:26,150.95,150.6,100,151,350,1900,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:28,150.85,150.75,100,151.3,150,2650,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:30,151.35,151.1,50,151.4,350,1100,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:32,151.5,151.35,100,151.5,100,600,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:33,152.5,151.95,1150,152.55,350,1950,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:35,152.1,151.6,550,152.15,350,1300,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:37,152.05,151.8,100,152.2,100,2250,411300
NIFTY03NOV2217800PE.NFO,27/10/2022,09:16:38,152.25,151.65,100,152.2,100,2900,411300
