Date,Time,Option,SL % 2,Target % 2,Exit Time % 2,Buy Price % 2,Exit Price % 2,Profit/Loss % 2,SL % 5,Target % 5,Exit Time % 5,Buy Price % 5,Exit Price % 5,Profit/Loss % 5,SL % 7,Target % 7,Exit Time % 7,Buy Price % 7,Exit Price % 7,Profit/Loss % 7,SL % 10,Target % 10,Exit Time % 10,Buy Price % 10,Exit Price % 10,Profit/Loss % 10
28/10/22,1900-01-01 11:15:00,Call,SL Hit First,SL Hit First,1900-01-01 11:15:24,78.05,76.48900000000000,-78.05000000000040,Close Price,Close Price,1900-01-01 11:20:00,78.05,76.15,-94.99999999999960,Close Price,Close Price,1900-01-01 11:20:00,78.05,76.15,-94.99999999999960,Close Price,Close Price,1900-01-01 11:20:00,78.05,76.15,-94.99999999999960
28/10/22,1900-01-01 11:20:00,Call,SL Hit First,SL Hit First,1900-01-01 11:20:06,76.85,75.31300000000000,-76.8500000000003,Close Price,Close Price,1900-01-01 11:25:00,76.85,77.8,47.50000000000010,Close Price,Close Price,1900-01-01 11:25:00,76.85,77.8,47.50000000000010,Close Price,Close Price,1900-01-01 11:25:00,76.85,77.8,47.50000000000010
28/10/22,1900-01-01 11:35:00,Call,SL Hit First,SL Hit First,1900-01-01 11:38:18,79.45,77.861,-79.44999999999990,SL Hit First,SL Hit First,1900-01-01 11:39:12,79.45,75.4775,-198.62500000000000,Close Price,Close Price,1900-01-01 11:40:00,79.45,75.65,-190.00000000000000,Close Price,Close Price,1900-01-01 11:40:00,79.45,75.65,-190.00000000000000
28/10/22,1900-01-01 11:45:00,Call,Target Hit First,Target Hit First,1900-01-01 11:48:48,72.5,73.95,72.50000000000010,Close Price,Close Price,1900-01-01 11:50:00,72.5,75.3,140.00000000000000,Close Price,Close Price,1900-01-01 11:50:00,72.5,75.3,140.00000000000000,Close Price,Close Price,1900-01-01 11:50:00,72.5,75.3,140.00000000000000
28/10/22,1900-01-01 11:55:00,Call,SL Hit First,SL Hit First,1900-01-01 11:55:54,75.75,74.235,-75.75000000000000,Close Price,Close Price,1900-01-01 12:00:00,75.75,75.3,-22.500000000000100,Close Price,Close Price,1900-01-01 12:00:00,75.75,75.3,-22.500000000000100,Close Price,Close Price,1900-01-01 12:00:00,75.75,75.3,-22.500000000000100
28/10/22,1900-01-01 12:10:00,Call,Target Hit First,Target Hit First,1900-01-01 12:10:42,71.85,73.28700000000000,71.84999999999990,Close Price,Close Price,1900-01-01 12:15:00,71.85,73.25,70.00000000000030,Close Price,Close Price,1900-01-01 12:15:00,71.85,73.25,70.00000000000030,Close Price,Close Price,1900-01-01 12:15:00,71.85,73.25,70.00000000000030
28/10/22,1900-01-01 12:15:00,Call,Target Hit First,Target Hit First,1900-01-01 12:17:42,73.95,75.429,73.95000000000000,SL Hit First,SL Hit First,1900-01-01 12:19:42,73.95,70.2525,-184.87500000000000,Close Price,Close Price,1900-01-01 12:20:00,73.95,70.65,-165.00000000000000,Close Price,Close Price,1900-01-01 12:20:00,73.95,70.65,-165.00000000000000
28/10/22,1900-01-01 12:20:00,Call,SL Hit First,SL Hit First,1900-01-01 12:21:48,70.05,68.649,-70.04999999999980,Close Price,Close Price,1900-01-01 12:25:00,70.05,70.0,-2.499999999999860,Close Price,Close Price,1900-01-01 12:25:00,70.05,70.0,-2.499999999999860,Close Price,Close Price,1900-01-01 12:25:00,70.05,70.0,-2.499999999999860
28/10/22,1900-01-01 12:25:00,Call,Target Hit First,Target Hit First,1900-01-01 12:25:48,69.5,70.89,69.50000000000000,Close Price,Close Price,1900-01-01 12:30:00,69.5,70.4,45.000000000000300,Close Price,Close Price,1900-01-01 12:30:00,69.5,70.4,45.000000000000300,Close Price,Close Price,1900-01-01 12:30:00,69.5,70.4,45.000000000000300
28/10/22,1900-01-01 12:30:00,Call,SL Hit First,SL Hit First,1900-01-01 12:32:00,70.45,69.041,-70.4500000000003,Close Price,Close Price,1900-01-01 12:35:00,70.45,71.0,27.499999999999900,Close Price,Close Price,1900-01-01 12:35:00,70.45,71.0,27.499999999999900,Close Price,Close Price,1900-01-01 12:35:00,70.45,71.0,27.499999999999900
28/10/22,1900-01-01 12:35:00,Call,Target Hit First,Target Hit First,1900-01-01 12:35:42,71.1,72.52200000000000,71.09999999999990,Target Hit First,Target Hit First,1900-01-01 12:39:48,71.1,74.655,177.75000000000000,Close Price,Close Price,1900-01-01 12:40:00,71.1,75.25,207.50000000000000,Close Price,Close Price,1900-01-01 12:40:00,71.1,75.25,207.50000000000000
28/10/22,1900-01-01 12:40:00,Call,SL Hit First,SL Hit First,1900-01-01 12:41:36,75.15,73.647,-75.15,Close Price,Close Price,1900-01-01 12:45:00,75.15,72.0,-157.50000000000000,Close Price,Close Price,1900-01-01 12:45:00,75.15,72.0,-157.50000000000000,Close Price,Close Price,1900-01-01 12:45:00,75.15,72.0,-157.50000000000000
28/10/22,1900-01-01 13:15:00,Call,SL Hit First,SL Hit First,1900-01-01 13:15:06,66.15,64.827,-66.15000000000040,Close Price,Close Price,1900-01-01 13:20:00,66.15,65.6,-27.50000000000060,Close Price,Close Price,1900-01-01 13:20:00,66.15,65.6,-27.50000000000060,Close Price,Close Price,1900-01-01 13:20:00,66.15,65.6,-27.50000000000060
28/10/22,1900-01-01 13:35:00,Call,SL Hit First,SL Hit First,1900-01-01 13:35:06,63.7,62.426,-63.700000000000000,Target Hit First,Target Hit First,1900-01-01 13:37:18,63.7,66.885,159.2500000000000,Target Hit First,Target Hit First,1900-01-01 13:39:30,63.7,68.159,222.95000000000000,Close Price,Close Price,1900-01-01 13:40:00,63.7,68.05,217.50000000000000
28/10/22,1900-01-01 13:40:00,Call,Target Hit First,Target Hit First,1900-01-01 13:40:42,68.25,69.615,68.24999999999970,Target Hit First,Target Hit First,1900-01-01 13:42:54,68.25,71.66250000000000,170.62500000000000,Close Price,Close Price,1900-01-01 13:45:00,68.25,69.9,82.50000000000030,Close Price,Close Price,1900-01-01 13:45:00,68.25,69.9,82.50000000000030
28/10/22,1900-01-01 13:45:00,Call,SL Hit First,SL Hit First,1900-01-01 13:45:30,70.0,68.6,-70.00000000000030,SL Hit First,SL Hit First,1900-01-01 13:48:00,70.0,66.5,-175.0,SL Hit First,SL Hit First,1900-01-01 13:48:42,70.0,65.1,-245.00000000000000,Close Price,Close Price,1900-01-01 13:50:00,70.0,64.9,-255.00000000000000
28/10/22,1900-01-01 13:55:00,Call,Target Hit First,Target Hit First,1900-01-01 13:55:18,59.8,60.996,59.80000000000030,Close Price,Close Price,1900-01-01 14:00:00,59.8,60.65,42.50000000000010,Close Price,Close Price,1900-01-01 14:00:00,59.8,60.65,42.50000000000010,Close Price,Close Price,1900-01-01 14:00:00,59.8,60.65,42.50000000000010
28/10/22,1900-01-01 14:00:00,Call,Target Hit First,Target Hit First,1900-01-01 14:01:00,60.25,61.455,60.249999999999900,Target Hit First,Target Hit First,1900-01-01 14:02:06,60.25,63.2625,150.62500000000000,Close Price,Close Price,1900-01-01 14:05:00,60.25,64.0,187.5,Close Price,Close Price,1900-01-01 14:05:00,60.25,64.0,187.5
28/10/22,1900-01-01 14:05:00,Call,SL Hit First,SL Hit First,1900-01-01 14:05:36,64.05,62.769,-64.04999999999990,SL Hit First,SL Hit First,1900-01-01 14:07:18,64.05,60.8475,-160.12500000000000,Close Price,Close Price,1900-01-01 14:10:00,64.05,62.25,-89.99999999999990,Close Price,Close Price,1900-01-01 14:10:00,64.05,62.25,-89.99999999999990
28/10/22,1900-01-01 14:20:00,Call,Target Hit First,Target Hit First,1900-01-01 14:22:48,65.4,66.70800000000000,65.40000000000040,SL Hit First,SL Hit First,1900-01-01 14:23:42,65.4,62.13,-163.50000000000000,Close Price,Close Price,1900-01-01 14:25:00,65.4,66.0,29.999999999999700,Close Price,Close Price,1900-01-01 14:25:00,65.4,66.0,29.999999999999700
28/10/22,1900-01-01 14:35:00,Call,Target Hit First,Target Hit First,1900-01-01 14:36:12,69.05,70.431,69.05000000000000,Close Price,Close Price,1900-01-01 14:40:00,69.05,67.35,-85.00000000000010,Close Price,Close Price,1900-01-01 14:40:00,69.05,67.35,-85.00000000000010,Close Price,Close Price,1900-01-01 14:40:00,69.05,67.35,-85.00000000000010
28/10/22,1900-01-01 14:40:00,Call,SL Hit First,SL Hit First,1900-01-01 14:41:06,67.25,65.905,-67.24999999999990,Close Price,Close Price,1900-01-01 14:45:00,67.25,69.3,102.50000000000000,Close Price,Close Price,1900-01-01 14:45:00,67.25,69.3,102.50000000000000,Close Price,Close Price,1900-01-01 14:45:00,67.25,69.3,102.50000000000000
28/10/22,1900-01-01 14:45:00,Call,SL Hit First,SL Hit First,1900-01-01 14:45:30,70.0,68.6,-70.00000000000030,Close Price,Close Price,1900-01-01 14:50:00,70.0,73.25,162.5,Close Price,Close Price,1900-01-01 14:50:00,70.0,73.25,162.5,Close Price,Close Price,1900-01-01 14:50:00,70.0,73.25,162.5
28/10/22,1900-01-01 14:50:00,Call,Target Hit First,Target Hit First,1900-01-01 14:50:06,72.3,73.746,72.2999999999999,Close Price,Close Price,1900-01-01 14:55:00,72.3,73.75,72.50000000000010,Close Price,Close Price,1900-01-01 14:55:00,72.3,73.75,72.50000000000010,Close Price,Close Price,1900-01-01 14:55:00,72.3,73.75,72.50000000000010
28/10/22,1900-01-01 15:05:00,Call,SL Hit First,SL Hit First,1900-01-01 15:05:06,70.5,69.09,-70.49999999999980,Target Hit First,Target Hit First,1900-01-01 15:08:48,70.5,74.025,176.25000000000000,Target Hit First,Target Hit First,1900-01-01 15:09:48,70.5,75.435,246.7500000000000,Close Price,Close Price,1900-01-01 15:10:00,70.5,76.0,275.0
28/10/22,1900-01-01 15:10:00,Call,SL Hit First,SL Hit First,1900-01-01 15:10:12,75.65,74.137,-75.65000000000030,Close Price,Close Price,1900-01-01 15:15:00,75.65,77.65,100.0,Close Price,Close Price,1900-01-01 15:15:00,75.65,77.65,100.0,Close Price,Close Price,1900-01-01 15:15:00,75.65,77.65,100.0
28/10/22,1900-01-01 15:15:00,Call,SL Hit First,SL Hit First,1900-01-01 15:16:06,77.55,75.999,-77.5500000000001,Close Price,Close Price,1900-01-01 15:20:00,77.55,77.1,-22.500000000000100,Close Price,Close Price,1900-01-01 15:20:00,77.55,77.1,-22.500000000000100,Close Price,Close Price,1900-01-01 15:20:00,77.55,77.1,-22.500000000000100
