Datetime,open,high,low,close,BuyPrice,SellPrice,Strike,EMA5,Date,Time
2022-10-06 09:15:00,132.65,132.65,90.0,93.6,95.65,110.0,17100,93.6,2022-10-06,09:15:00
2022-10-06 09:15:06,97.9,108.15,97.9,108.15,97.5,97.9,17100,102.33,2022-10-06,09:15:06
2022-10-06 09:15:12,113.65,116.05,111.5,111.5,113.85,114.2,17100,106.67368421052632,2022-10-06,09:15:12
2022-10-06 09:15:18,110.55,110.55,107.55,107.9,110.35,110.7,17100,107.18307692307694,2022-10-06,09:15:18
2022-10-06 09:15:24,109.5,114.3,109.5,114.3,109.45,109.75,17100,109.91516587677727,2022-10-06,09:15:24
2022-10-06 09:15:30,114.0,116.8,114.0,116.8,114.0,114.35,17100,112.43097744360904,2022-10-06,09:15:30
2022-10-06 09:15:36,116.7,119.9,116.7,119.9,116.45,116.7,17100,115.07542496357456,2022-10-06,09:15:36
2022-10-06 09:15:42,122.4,130.65,122.4,130.65,122.05,122.45,17100,120.47773988897701,2022-10-06,09:15:42
2022-10-06 09:15:48,130.85,132.75,128.9,128.9,130.35,130.9,17100,123.36013770799647,2022-10-06,09:15:48
2022-10-06 09:15:54,128.35,131.6,128.35,131.6,128.3,128.7,17100,126.15522964239554,2022-10-06,09:15:54
2022-10-06 09:16:00,130.85,130.85,130.15,130.15,130.55,130.9,17100,127.5023943597622,2022-10-06,09:16:00
2022-10-06 09:16:06,129.8,133.8,129.8,133.8,129.8,130.0,17100,129.61790118423426,2022-10-06,09:16:06
2022-10-06 09:16:12,133.1,134.3,132.6,132.6,133.15,133.45,17100,130.61706807319194,2022-10-06,09:16:12
2022-10-06 09:16:18,133.25,133.25,126.8,126.8,133.1,133.25,17100,129.34033862817932,2022-10-06,09:16:18
2022-10-06 09:16:24,123.35,124.75,123.35,124.75,123.3,123.55,17100,127.80672349926195,2022-10-06,09:16:24
2022-10-06 09:16:30,124.1,124.1,121.1,121.1,124.0,124.1,17100,125.56774028449892,2022-10-06,09:16:30
2022-10-06 09:16:36,118.85,118.85,116.8,116.8,118.85,119.1,17100,122.64219087630036,2022-10-06,09:16:36
2022-10-06 09:16:42,117.4,117.4,113.05,113.05,117.15,117.4,17100,119.44262896761273,2022-10-06,09:16:42
2022-10-06 09:16:48,111.4,111.4,110.0,110.0,111.35,111.55,17100,116.29366550306472,2022-10-06,09:16:48
2022-10-06 09:16:54,110.0,111.2,110.0,111.2,110.0,110.15,17100,114.59526624471033,2022-10-06,09:16:54
2022-10-06 09:17:00,110.95,114.15,110.6,114.15,110.9,111.15,17100,114.44681440065747,2022-10-06,09:17:00
2022-10-06 09:17:06,116.65,116.65,115.7,115.7,116.6,116.7,17100,114.86459877365368,2022-10-06,09:17:06
2022-10-06 09:17:12,114.75,116.65,113.25,116.5,114.75,115.05,17100,115.40978109412427,2022-10-06,09:17:12
2022-10-06 09:17:18,116.5,118.25,116.5,118.25,116.3,116.5,17100,116.35657697211356,2022-10-06,09:17:18
2022-10-06 09:17:24,117.65,118.0,117.45,117.45,117.45,117.65,17100,116.72106574927359,2022-10-06,09:17:24
2022-10-06 09:17:30,117.8,117.8,116.85,116.85,117.6,117.8,17100,116.76404496756142,2022-10-06,09:17:30
2022-10-06 09:17:36,115.1,115.1,112.8,113.0,115.15,115.25,17100,115.5093412277351,2022-10-06,09:17:36
