Date,Time,Buy/Sell Put,open,high,low,close
2022-10-06,09:25:00,Buy Put at 158.8,158.8,186.7,153.7,186.6
2022-10-06,09:30:00,Buy Put at 187.8,187.8,202.3,176.25,198.5
2022-10-06,09:35:00,Buy Put at 199.5,199.5,217.7,192.0,217.5
2022-10-06,09:40:00,Buy Put at 218.9,218.9,223.15,195.3,213.0
2022-10-06,09:50:00,Buy Put at 194.1,194.1,205.3,189.6,204.35
2022-10-06,09:55:00,Buy Put at 204.75,204.75,218.6,204.75,217.2
2022-10-06,10:00:00,Buy Put at 218.05,218.05,232.85,209.4,228.5
2022-10-06,10:05:00,Buy Put at 229.2,229.2,232.4,220.0,226.95
2022-10-06,10:15:00,Buy Put at 218.15,218.15,230.5,215.35,221.25
2022-10-06,10:50:00,Buy Put at 220.1,220.1,227.55,219.0,221.55
2022-10-06,10:55:00,Buy Put at 221.55,221.55,224.95,212.8,224.5
2022-10-06,11:45:00,Buy Put at 159.65,159.65,175.6,157.1,173.6
2022-10-06,11:50:00,Buy Put at 173.8,173.8,180.85,172.45,176.75
2022-10-06,11:55:00,Buy Put at 176.1,176.1,177.4,167.55,171.4
2022-10-06,12:10:00,Buy Put at 177.45,177.45,186.95,177.15,184.65
2022-10-06,12:15:00,Buy Put at 184.45,184.45,199.0,184.45,189.8
2022-10-06,12:30:00,Buy Put at 186.0,186.0,204.0,186.0,193.45
2022-10-06,12:40:00,Buy Put at 186.0,186.0,207.5,184.95,194.4
2022-10-06,13:05:00,Buy Put at 181.3,181.3,191.35,176.0,190.35
2022-10-06,13:20:00,Buy Put at 172.8,172.8,182.75,167.65,180.6
2022-10-06,13:25:00,Buy Put at 180.8,180.8,186.05,174.15,183.15
2022-10-06,13:30:00,Buy Put at 183.0,183.0,197.8,183.0,195.9
2022-10-06,13:35:00,Buy Put at 195.6,195.6,201.8,192.5,200.9
2022-10-06,13:40:00,Buy Put at 201.95,201.95,202.2,189.7,193.3
2022-10-06,13:45:00,Buy Put at 193.2,193.2,210.35,191.45,210.35
2022-10-06,13:50:00,Buy Put at 213.8,213.8,218.35,206.9,216.8
2022-10-06,13:55:00,Buy Put at 216.1,216.1,226.55,212.5,223.9
