Date,Time,Option,SL % 2,Target % 2,Exit Time % 2,Buy Price % 2,Exit Price % 2,Profit/Loss % 2,SL % 5,Target % 5,Exit Time % 5,Buy Price % 5,Exit Price % 5,Profit/Loss % 5,SL % 7,Target % 7,Exit Time % 7,Buy Price % 7,Exit Price % 7,Profit/Loss % 7,SL % 10,Target % 10,Exit Time % 10,Buy Price % 10,Exit Price % 10,Profit/Loss % 10
3/10/22,1900-01-01 09:45:00,Call,SL Hit First,SL Hit First,1900-01-01 09:45:12,86.45,84.721,-86.45000000000000,Target Hit First,Target Hit First,1900-01-01 09:46:30,86.45,90.7725,216.12500000000000,Target Hit First,Target Hit First,1900-01-01 09:46:30,86.45,92.5015,302.5750000000000,Target Hit First,Target Hit First,1900-01-01 09:47:06,86.45,95.095,432.2500000000000
3/10/22,1900-01-01 10:10:00,Call,SL Hit First,SL Hit First,1900-01-01 10:10:12,76.95,75.411,-76.95000000000010,SL Hit First,SL Hit First,1900-01-01 10:10:24,76.95,73.1025,-192.37500000000000,Target Hit First,Target Hit First,1900-01-01 10:13:00,76.95,82.3365,269.32500000000000,Close Price,Close Price,1900-01-01 10:15:00,76.95,78.55,79.99999999999970
3/10/22,1900-01-01 10:20:00,Call,Target Hit First,Target Hit First,1900-01-01 10:20:18,78.2,79.76400000000000,78.20000000000040,Target Hit First,Target Hit First,1900-01-01 10:20:54,78.2,82.11,195.50000000000000,Target Hit First,Target Hit First,1900-01-01 10:21:00,78.2,83.674,273.70000000000000,Target Hit First,Target Hit First,1900-01-01 10:22:06,78.2,86.02000000000000,391.00000000000000
3/10/22,1900-01-01 10:30:00,Call,Target Hit First,Target Hit First,1900-01-01 10:30:24,74.25,75.735,74.25000000000000,Target Hit First,Target Hit First,1900-01-01 10:34:42,74.25,77.9625,185.62500000000000,Close Price,Close Price,1900-01-01 10:35:00,74.25,76.35,105.00000000000000,Close Price,Close Price,1900-01-01 10:35:00,74.25,76.35,105.00000000000000
3/10/22,1900-01-01 10:35:00,Call,Target Hit First,Target Hit First,1900-01-01 10:35:30,76.65,78.183,76.65000000000010,SL Hit First,SL Hit First,1900-01-01 10:37:42,76.65,72.8175,-191.6250000000010,SL Hit First,SL Hit First,1900-01-01 10:37:42,76.65,71.2845,-268.27500000000100,Close Price,Close Price,1900-01-01 10:40:00,76.65,75.95,-35.00000000000010
3/10/22,1900-01-01 10:40:00,Call,SL Hit First,SL Hit First,1900-01-01 10:40:12,75.95,74.431,-75.95000000000030,SL Hit First,SL Hit First,1900-01-01 10:40:48,75.95,72.1525,-189.87500000000000,Close Price,Close Price,1900-01-01 10:45:00,75.95,74.75,-60.00000000000010,Close Price,Close Price,1900-01-01 10:45:00,75.95,74.75,-60.00000000000010
3/10/22,1900-01-01 10:45:00,Call,SL Hit First,SL Hit First,1900-01-01 10:45:12,75.0,73.5,-75.0,Close Price,Close Price,1900-01-01 10:50:00,75.0,75.9,45.000000000000300,Close Price,Close Price,1900-01-01 10:50:00,75.0,75.9,45.000000000000300,Close Price,Close Price,1900-01-01 10:50:00,75.0,75.9,45.000000000000300
3/10/22,1900-01-01 11:10:00,Call,SL Hit First,SL Hit First,1900-01-01 11:10:06,70.5,69.09,-70.49999999999980,Target Hit First,Target Hit First,1900-01-01 11:13:36,70.5,74.025,176.25000000000000,Target Hit First,Target Hit First,1900-01-01 11:13:54,70.5,75.435,246.7500000000000,Target Hit First,Target Hit First,1900-01-01 11:14:30,70.5,77.55000000000000,352.50000000000100
3/10/22,1900-01-01 11:15:00,Call,Target Hit First,Target Hit First,1900-01-01 11:15:06,77.6,79.152,77.60000000000030,Target Hit First,Target Hit First,1900-01-01 11:15:24,77.6,81.48,194.00000000000000,Target Hit First,Target Hit First,1900-01-01 11:17:30,77.6,83.032,271.60000000000000,Target Hit First,Target Hit First,1900-01-01 11:17:42,77.6,85.36,388.0000000000000
3/10/22,1900-01-01 11:25:00,Call,SL Hit First,SL Hit First,1900-01-01 11:25:06,109.45,107.261,-109.45000000000000,SL Hit First,SL Hit First,1900-01-01 11:25:12,109.45,103.9775,-273.62500000000000,SL Hit First,SL Hit First,1900-01-01 11:26:30,109.45,101.7885,-383.07500000000000,SL Hit First,SL Hit First,1900-01-01 11:28:30,109.45,98.505,-547.2500000000000
3/10/22,1900-01-01 12:00:00,Call,SL Hit First,SL Hit First,1900-01-01 12:00:36,102.6,100.548,-102.60000000000000,SL Hit First,SL Hit First,1900-01-01 12:01:12,102.6,97.47000000000000,-256.50000000000000,SL Hit First,SL Hit First,1900-01-01 12:01:18,102.6,95.418,-359.0999999999990,Close Price,Close Price,1900-01-01 12:05:00,102.6,96.85,-287.5
3/10/22,1900-01-01 12:05:00,Call,SL Hit First,SL Hit First,1900-01-01 12:05:00,99.25,97.265,-99.25000000000000,SL Hit First,SL Hit First,1900-01-01 12:06:12,99.25,94.2875,-248.12500000000000,Close Price,Close Price,1900-01-01 12:10:00,99.25,94.4,-242.50000000000000,Close Price,Close Price,1900-01-01 12:10:00,99.25,94.4,-242.50000000000000
3/10/22,1900-01-01 12:25:00,Call,Target Hit First,Target Hit First,1900-01-01 12:25:36,86.0,87.72,85.99999999999990,SL Hit First,SL Hit First,1900-01-01 12:27:48,86.0,81.7,-215.00000000000000,Close Price,Close Price,1900-01-01 12:30:00,86.0,85.25,-37.5,Close Price,Close Price,1900-01-01 12:30:00,86.0,85.25,-37.5
3/10/22,1900-01-01 12:35:00,Call,SL Hit First,SL Hit First,1900-01-01 12:35:12,81.45,79.821,-81.45000000000020,Target Hit First,Target Hit First,1900-01-01 12:35:48,81.45,85.52250000000000,203.62500000000000,Target Hit First,Target Hit First,1900-01-01 12:35:54,81.45,87.15150000000000,285.0750000000010,Target Hit First,Target Hit First,1900-01-01 12:36:24,81.45,89.59500000000000,407.2500000000010
3/10/22,1900-01-01 12:45:00,Call,Target Hit First,Target Hit First,1900-01-01 12:45:12,80.25,81.855,80.2500000000002,Target Hit First,Target Hit First,1900-01-01 12:46:54,80.25,84.2625,200.62500000000000,Target Hit First,Target Hit First,1900-01-01 12:47:00,80.25,85.8675,280.87500000000000,Target Hit First,Target Hit First,1900-01-01 12:47:24,80.25,88.275,401.2500000000000
3/10/22,1900-01-01 12:50:00,Call,SL Hit First,SL Hit First,1900-01-01 12:50:12,94.6,92.708,-94.5999999999998,Target Hit First,Target Hit First,1900-01-01 12:51:42,94.6,99.33,236.5000000000000,Target Hit First,Target Hit First,1900-01-01 12:52:36,94.6,101.222,331.1,Close Price,Close Price,1900-01-01 12:55:00,94.6,96.2,80.00000000000040
3/10/22,1900-01-01 12:55:00,Call,Target Hit First,Target Hit First,1900-01-01 12:55:00,94.1,95.982,94.10000000000030,Target Hit First,Target Hit First,1900-01-01 12:55:06,94.1,98.805,235.25000000000100,Close Price,Close Price,1900-01-01 13:00:00,94.1,90.9,-159.99999999999900,Close Price,Close Price,1900-01-01 13:00:00,94.1,90.9,-159.99999999999900
3/10/22,1900-01-01 13:00:00,Call,Target Hit First,Target Hit First,1900-01-01 13:00:30,91.6,93.432,91.60000000000040,Target Hit First,Target Hit First,1900-01-01 13:00:48,91.6,96.18,229.00000000000100,Close Price,Close Price,1900-01-01 13:05:00,91.6,88.45,-157.50000000000000,Close Price,Close Price,1900-01-01 13:05:00,91.6,88.45,-157.50000000000000
3/10/22,1900-01-01 13:10:00,Call,Target Hit First,Target Hit First,1900-01-01 13:10:12,83.05,84.711,83.05000000000010,Target Hit First,Target Hit First,1900-01-01 13:10:54,83.05,87.2025,207.62500000000000,Target Hit First,Target Hit First,1900-01-01 13:11:00,83.05,88.8635,290.67500000000000,Target Hit First,Target Hit First,1900-01-01 13:11:30,83.05,91.355,415.25000000000000
3/10/22,1900-01-01 13:15:00,Call,Target Hit First,Target Hit First,1900-01-01 13:15:06,87.75,89.505,87.74999999999980,Target Hit First,Target Hit First,1900-01-01 13:17:24,87.75,92.1375,219.37500000000000,Target Hit First,Target Hit First,1900-01-01 13:17:54,87.75,93.8925,307.1250000000000,Close Price,Close Price,1900-01-01 13:20:00,87.75,94.2,322.5000000000000
